ID,Title,Release Date,Run Time,Genre,Director,Studio,Country,Language,Certificate,Budget,Box Office,Nominations,Oscar Wins,Profit,Success
853,For Whom the Bell Tolls,1943-07-14,170,War,Sam Wood,Paramount Pictures,United States,English,U,3000000.0,7100000.0,9,1,4100000.0,Flop
893,Gone with the Wind,1939-12-15,221,Romance,Victor Fleming,Selznick International Pictures,United States,English,PG,3850000.0,198000000.0,13,8,194150000.0,Hit
982,All Quiet on the Western Front,1930-04-21,152,War,Lewis Milestone,Universal Pictures,United States,English,PG,1200000.0,3000000.0,4,2,1800000.0,Flop
1134,Batman v Superman: Dawn of Justice,2016-03-25,151,Action,Zack Snyder,DC Entertainment,United States,English,12,250000000.0,873300000.0,0,0,623300000.0,Hit
1150,Lolita,1962-06-13,152,Drama,Stanley Kubrick,Seven Arts Productions,United Kingdom,English,15,2000000.0,9250000.0,1,0,7250000.0,Flop
1153,Metropolis,1927-01-10,153,Science Fiction,Fritz Lang,Universum Film,Germany,Silent,PG,,,0,0,,Flop
1164,Hamlet,1948-05-04,155,Drama,Laurence Olivier,Two Cities Films,United Kingdom,English,U,750000.0,3250000.0,7,4,2500000.0,Flop
1228,Seven Swords,2005-07-29,153,Martial Arts,Hark Tsui,Film Workshop,Hong Kong,Mandarin,15,18000000.0,,0,0,,Flop
1260,47 Samurai,1962-11-03,207,Action,Hiroshi Inagaki,Toho Company,Japan,Japanese,Unknown,,,0,0,,Flop
1265,Nippon tanjo,1959-01-01,182,Fantasy,Hiroshi Inagaki,Toho Company,Japan,Japanese,Unknown,,,0,0,,Flop
1282,The Fall of Ako Castle,1978-10-28,158,Action,Kinji Fukasaku,Toei Kyoto,Japan,Japanese,Unknown,,,0,0,,Flop
1309,A Prophet,2009-05-16,155,Crime,Jacques Audiard,Why Not Productions,France,French,18,13000000.0,17900000.0,0,0,4900000.0,Flop
1378,Once Upon a Time in the West,1968-12-21,165,Western,Sergio Leone,Paramount Pictures,Italy,Italian,15,5000000.0,5321500.0,0,0,321500.0,Flop
1379,Once Upon a Time in America,1984-05-23,229,Crime,Sergio Leone,The Ladd Company,United States,English,18,30000000.0,5300000.0,0,0,-24700000.0,Flop
1387,Empire of the Sun,1987-12-11,154,War,Steven Spielberg,Amblin Entertainment,United States,English,PG,35000000.0,66700000.0,6,0,31700000.0,Flop
1388,Amistad,1997-12-10,154,History,Steven Spielberg,Dreamworks,United States,English,15,36000000.0,44200000.0,4,0,8200000.0,Flop
1416,Eyes Wide Shut,1999-07-16,159,Drama,Stanley Kubrick,Stanley Kubrick Productions,United Kingdom,English,18,65000000.0,162100000.0,0,0,97100000.0,Flop
1425,A Fistful of Dynamite,1971-10-29,157,Western,Sergio Leone,United Artists,Italy,Italian,15,,,0,0,,Flop
1433,Where Eagles Dare,1968-12-04,155,War,Brian G. Hutton,Metro-Goldwyn-Mayer,United Kingdom,English,PG,7700000.0,21000000.0,0,0,13300000.0,Flop
1459,Judgment at Nuremberg,1961-12-19,179,Drama,Stanley Kramer,United Artists,United States,English,PG,3000000.0,10000000.0,11,2,7000000.0,Flop
1460,The Great Escape,1963-06-20,172,War,John Sturges,The Mirisch Production Company,United States,English,PG,3800000.0,11744000.0,1,0,7944000.0,Flop
1478,"New York, New York",1977-06-21,163,Musical,Martin Scorsese,United Artists,United States,English,PG,14000000.0,13800000.0,0,0,-200000.0,Flop
1481,The Last Temptation of Christ,1988-08-12,162,Drama,Martin Scorsese,Universal Pictures,United States,English,18,7000000.0,8900000.0,1,0,1900000.0,Flop
1483,Silence,2016-11-29,159,Drama,Martin Scorsese,Paramount Pictures,United States,English,15,50000000.0,,0,0,,Flop
1484,The Wolf of Wall Street,2013-12-17,179,Biography,Martin Scorsese,Paramount Pictures,United States,English,18,155000000.0,392000000.0,5,0,237000000.0,Hit
1507,Jackie Brown,1997-12-25,154,Crime,Quentin Tarantino,A Band Apart,United States,English,15,12000000.0,74700000.0,1,0,62700000.0,Flop
1508,Inglourious Basterds,2009-05-20,153,War,Quentin Tarantino,A Band Apart,United States,English,18,70000000.0,321500000.0,8,1,251500000.0,Hit
1509,Django Unchained,2012-12-11,165,Western,Quentin Tarantino,Columbia Pictures,United States,English,18,100000000.0,425400000.0,5,2,325400000.0,Hit
1510,The Hateful Eight,2015-12-07,168,Western,Quentin Tarantino,Double Feature Films,United States,English,18,54000000.0,155800000.0,3,1,101800000.0,Hit
1528,Watchmen,2009-02-23,163,Action,Zack Snyder,Legendary Pictures,United States,English,18,130000000.0,185300000.0,0,0,55300000.0,Flop
1547,The English Patient,1996-11-15,162,Romance,Anthony Minghella,Miramax Films,United Kingdom,English,15,27000000.0,232000000.0,12,9,205000000.0,Hit
1556,Zero Dark Thirty,2012-12-19,157,Thriller,Kathryn Bigelow,Columbia Pictures,United States,English,15,40000000.0,132800000.0,5,1,92800000.0,Flop
1575,The Girl with the Dragon Tattoo,2009-02-27,153,Thriller,Niels Arden Oplev,Yellow Bird,Sweden,Swedish,18,13000000.0,104395000.0,0,0,91395000.0,Flop
1580,The Girl with the Dragon Tattoo,2011-12-12,158,Thriller,David Fincher,Scott Rudin Productions,United States,English,18,90000000.0,232600000.0,5,1,142600000.0,Hit
1583,The Revenant,2015-12-16,156,Adventure,Alejandro G. Inarritu,Regency Enterprises,United States,English,15,135000000.0,533000000.0,12,3,398000000.0,Hit
1590,There Will Be Blood,2007-09-27,158,Drama,Paul Thomas Anderson,Miramax Films,United States,English,15,25000000.0,76200000.0,8,2,51200000.0,Flop
1594,Boogie Nights,1997-10-10,155,Drama,Paul Thomas Anderson,New Line Cinema,United States,English,18,15000000.0,43100000.0,3,0,28100000.0,Flop
1602,Prisoners,2013-08-30,153,Thriller,Denis Villeneuve,Warner Bros. Pictures,United States,English,15,46000000.0,122100000.0,1,0,76100000.0,Flop
1612,Les Misérables,2012-12-05,158,Musical,Tom Hooper,UK Film Council,United Kingdom,English,12A,61000000.0,441800000.0,8,3,380800000.0,Hit
1657,Othello,1965-12-15,165,Drama,Stuart Burge,BHE Films,United Kingdom,English,U,,,4,0,,Flop
1663,Giant,1956-11-24,201,Western,George Stevens,Warner Bros. Pictures,United States,English,PG,5400000.0,39000000.0,10,1,33600000.0,Flop
1670,The Diary of Anne Frank,1959-03-18,180,Drama,George Stevens,20th Century Fox,United States,English,U,3800000.0,2300000.0,8,3,-1500000.0,Flop
1671,The Greatest Story Ever Told,1965-04-09,260,Drama,George Stevens,United Artists,United States,English,U,21000000.0,15473000.0,5,0,-5527000.0,Flop
